numeric_id	chemont_id	name	parent_numeric_id	parent_name
0	CHEMONTID:0000000	Organic compounds	9999999	Chemical entities
1	CHEMONTID:0000001	Inorganic compounds	9999999	Chemical entities
2	CHEMONTID:0000002	Organoheterocyclic compounds	0	Organic compounds
3	CHEMONTID:0000003	Thiepanes	2	Organoheterocyclic compounds
4	CHEMONTID:0000004	Organosulfur compounds	0	Organic compounds
5	CHEMONTID:0000005	Pyrroloquinoline quinones	1734	Pyrroloquinolines
6	CHEMONTID:0000006	Benzoxazolines	2	Organoheterocyclic compounds
7	CHEMONTID:0000007	Amidines	278	Organonitrogen compounds
8	CHEMONTID:0000008	Cembrane diterpenoids	1551	Diterpenoids
9	CHEMONTID:0000009	Sulfines	4	Organosulfur compounds
10	CHEMONTID:0000010	Sulfenes	4	Organosulfur compounds
11	CHEMONTID:0000011	Carbohydrates and carbohydrate conjugates	323	Organooxygen compounds
12	CHEMONTID:0000012	Lipids and lipid-like molecules	0	Organic compounds
13	CHEMONTID:0000013	Amino acids, peptides, and analogues	265	Carboxylic acids and derivatives
14	CHEMONTID:0000014	Phenylbutylamines	2279	Benzene and substituted derivatives
15	CHEMONTID:0000015	Dibenzofurans	301	Benzofurans
16	CHEMONTID:0000016	Allenes	0	Organic compounds
17	CHEMONTID:0000017	Cycloalkenes	2840	Cyclic olefins
18	CHEMONTID:0000018	Anthracenes	2448	Benzenoids
19	CHEMONTID:0000019	Dibenzocycloheptenes	2448	Benzenoids
20	CHEMONTID:0000020	Fluorenes	2448	Benzenoids
21	CHEMONTID:0000021	Indenes and isoindenes	2448	Benzenoids
22	CHEMONTID:0000022	Naphthacenes	2448	Benzenoids
23	CHEMONTID:0000023	Naphthalenes	2448	Benzenoids
24	CHEMONTID:0000024	Pentacenes	2448	Benzenoids
25	CHEMONTID:0000025	Phenanthrenes and derivatives	2448	Benzenoids
26	CHEMONTID:0000026	Purine ribonucleoside bisphosphates	1544	Purine ribonucleotides
27	CHEMONTID:0000027	Indanes	2448	Benzenoids
28	CHEMONTID:0000028	Pyridoxals and derivatives	2212	Pyridine carboxaldehydes
29	CHEMONTID:0000029	Cinnamaldehydes	261	Phenylpropanoids and polyketides
30	CHEMONTID:0000030	Hydroxyeicosatrienoic acids	513	Eicosanoids
31	CHEMONTID:0000031	Benzenesulfonamides	2279	Benzene and substituted derivatives
32	CHEMONTID:0000032	Benzenesulfonic acids and derivatives	2279	Benzene and substituted derivatives
33	CHEMONTID:0000033	Benzyl alcohols	2279	Benzene and substituted derivatives
34	CHEMONTID:0000034	Sulfobenzoic acids	32	Benzenesulfonic acids and derivatives
35	CHEMONTID:0000035	Halobenzenes	2279	Benzene and substituted derivatives
36	CHEMONTID:0000036	Nitrobenzenes	2279	Benzene and substituted derivatives
37	CHEMONTID:0000037	Styrenes	2279	Benzene and substituted derivatives
38	CHEMONTID:0000038	Sulfanilides	2279	Benzene and substituted derivatives
39	CHEMONTID:0000039	Sulfamic acid derivatives	264	Organic acids and derivatives
40	CHEMONTID:0000040	Indanediones	1151	Indanones
41	CHEMONTID:0000041	Biphenyls and derivatives	2279	Benzene and substituted derivatives
42	CHEMONTID:0000042	Diphenhydramines	2279	Benzene and substituted derivatives
43	CHEMONTID:0000043	Biphenylbenzimidazoles	330	Phenylbenzimidazoles
44	CHEMONTID:0000044	Biphenyltetrazoles and derivatives	306	Phenyltetrazoles and derivatives
45	CHEMONTID:0000045	Phenylpropenes	2279	Benzene and substituted derivatives
46	CHEMONTID:0000046	Hydroxyeicosatetraenoic acids	513	Eicosanoids
47	CHEMONTID:0000047	Podophyllotoxins	1510	Lignan lactones
48	CHEMONTID:0000048	Tetralins	2448	Benzenoids
49	CHEMONTID:0000049	Tametralines	48	Tetralins
