inchikey	cid	zinc_id	smiles	chemont_tree_json	chemont_other_json
RDHQFKQIGNGIED-UHFFFAOYSA-N	1		CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	[0,12,3909,324,1095]	{"intermediate_nodes":[324],"alternative_parents":[346,1205,1238,1831,2449,3865,3919,3940,4150,4225,4557],"substituents":[278,323,503,1093,1166,1205,1238,3865,3919,3940,4150,4225,4557,4603,4707],"mapped_features":[0,278,323,324,503,1093,1166,1205,1238,3865,3919,3940,4150,4225,4557,4603,4707]}
RDHQFKQIGNGIED-UHFFFAOYSA-O	2		CC(=O)OC(CC(=O)O)C[N+](C)(C)C	[0,12,3909,324,1095]	{"intermediate_nodes":[324],"alternative_parents":[346,1205,1238,1831,2449,3609,3865,3919,3940,4150,4225,4557],"substituents":[278,323,503,1093,1205,1238,3865,3919,3940,4150,4225,4557,4603,4707],"mapped_features":[0,278,323,324,503,1093,1205,1238,3865,3919,3940,4150,4225,4557,4603,4707]}
INCSWYKICIYAHB-UHFFFAOYSA-N	3		C1=CC(C(C(=C1)C(=O)O)O)O	[0,264,472,1713,1713]	{"alternative_parents":[1137,1205,1292,1661,1831,2467,3940,4150],"substituents":[323,1093,1205,1661,3940,4150,4603],"mapped_features":[0,323,1093,1205,1661,3940,4150,4603]}
HXKKHQJGJAFBHI-UHFFFAOYSA-N	4		CC(CN)O	[0,4707,278,2449,1897]	{"intermediate_nodes":[2449,2460],"alternative_parents":[469,1661,4150,4557],"substituents":[323,1661,2450,4150,4557,4603],"mapped_features":[0,278,323,1661,2450,4150,4557,4603,4707]}
HIQNVODXENYOFK-UHFFFAOYSA-N	5	3869165	C(C(=O)COP(=O)(O)O)N	[0,264,402,408,3458]	{"intermediate_nodes":[408,3457],"alternative_parents":[122,469,1540,3940,4150,4557],"substituents":[278,323,2450,3940,4150,4557,4603,4707],"mapped_features":[0,278,323,2450,3940,4150,4557,4603,4707]}
VYZAHLCBVHPDDF-UHFFFAOYSA-N	6	1540301	C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl	[0,2448,2279,36,36]	{"alternative_parents":[278,1030,1099,1508,1516,3633,3940,4150,4557,4612],"substituents":[267,278,1152,3630,3631,3633,3940,4117,4150,4557,4603,4612,4707],"mapped_features":[0,267,278,1152,3630,3631,3633,3940,4117,4150,4557,4603,4612,4707]}
MUIPLRMGAXZWSQ-UHFFFAOYSA-N	7	402896	CCN1C=NC2=C(N=CN=C21)N	[0,2,1797,245,2987]	{"intermediate_nodes":[245],"alternative_parents":[1262,2311,2453,3886,4139,4144,4150,4557],"substituents":[278,2450,2453,4144,4150,4557,4707],"mapped_features":[0,2,278,2450,2453,4144,4150,4557,4707]}
PDGXJDXVGMHUIR-UHFFFAOYSA-N	8		CCC(C)(C(C(=O)O)O)O	[0,12,3909,262,341]	{"intermediate_nodes":[262],"alternative_parents":[266,1137,1205,1359,1540,1661,1670,1831,2467,3544,3940,4150],"substituents":[323,338,341,1093,1205,1661,1670,3544,3940,4150,4603],"mapped_features":[0,323,338,341,1093,1205,1661,1670,3544,3940,4150,4603]}
INAPMGSXUVUWAF-UHFFFAOYSA-N	9		C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O	[0,4603,323,129,2511]	{"intermediate_nodes":[129,1292,2509],"alternative_parents":[2286,2647,3458,3940,4150],"substituents":[1661,3940,4150],"mapped_features":[0,323,1661,3940,4150,4603]}
WSLDOOZREJYCGB-UHFFFAOYSA-N	11	8220695	C(CCl)Cl	[0,267,1516,1516,1516]	{"alternative_parents":[1026,4150],"substituents":[4150],"mapped_features":[0,267,4150]}
RDJUHLUBPADHNP-UHFFFAOYSA-N	12	901826	C1=C(C=C(C(=C1O)O)O)O	[0,2448,134,4647,4647]	{"alternative_parents":[2279,2286,4150,4646],"substituents":[323,4150,4603],"mapped_features":[0,323,4150,4603]}
PBKONEOXTCPAFI-UHFFFAOYSA-N	13	388208	C1=CC(=C(C=C1Cl)Cl)Cl	[0,2448,2279,35,1099]	{"intermediate_nodes":[35],"alternative_parents":[1030,1516,4150],"substituents":[267,4150],"mapped_features":[0,267,4150]}
