subclass	direct_parent	intermediate_nodes	rows
13	2309	60,347	1838568
2341	2341		1257993
13	60	347	1214522
31	31		1213222
2449	3899		1097681
2336	2336		898748
87	2019		898397
13	1878	347	865909
1831	4298	118,3670,4296	795572
138	138		789791
285	4712		772162
285	285		772003
185	185		750486
285	4713	4712	706929
189	1984		666408
2449	3901	2452,2454	661883
294	294		592161
4631	4631		569415
35	1100		556784
38	38		552821
13	394	60,347	515089
13	348		515085
23	23		512834
369	369		509736
1935	1935		506946
4551	4551		465371
2279	2279		458665
41	41		455750
176	178		454312
176	1350		449332
36	36		446519
4113	4111		431544
2811	2811		428411
303	303		427564
99	3314	2183	415679
176	4361		409781
13	1189	60,347	405084
253	253		404673
2363	2363		396716
4789	485		396472
254	2463		395896
78	2327	2310	378794
311	311		374848
2317	2317		371513
4155	4155		360193
189	3359		354393
335	335		336993
195	195		336349
1093	4817	475	324299
3087	2622		308706
2020	2020		305041
176	179	178	302888
186	188		299606
35	2564	1099	288054
1253	1253		285222
2348	2348		282328
35	1099		280681
1822	4354	2924	264649
13	4321	60,347	256415
301	301		252511
2542	2542		250607
296	296		246213
321	4110		243501
13	1880	347	242613
324	324		237760
254	128		234856
4631	3864		231680
48	48		228165
176	3469	178	224393
2257	2334		220524
1549	51		214600
75	2308		209984
2810	2810		205454
13	4322	60,347	205013
211	211		203426
189	1976		200977
328	328		200520
2955	2955		200040
27	27		199086
4197	4197		198169
2702	2702		197956
3815	1135		196957
1549	1564		190974
75	1262		189366
1091	1091		189089
392	370		185522
1974	2411		184903
89	89		184576
1322	2253	1326	184527
95	2634		182841
176	3099	3096	182732
36	4671		182370
3410	3410		177947
3282	3282		177407
176	3100	3096	175245
1322	2414		171361
4670	4670		171351
283	283		171181
13	2404	60,347	170738
56	1716		170236
1322	1326		170053
1974	2312		169342
83	4342		168529
111	306		166964
31	1925		166334
1097	1097		165889
476	476		165600
4233	4233		161901
95	2637		160602
1859	1859		159844
2017	2018		159393
4789	2314	485	158593
284	284		158169
185	4204		156213
130	130		155754
2012	2012		154409
13	4314	60,347	153661
1715	1715		151606
13	2402	60,347,1189	148084
1530	1530		147411
331	1096		146820
2013	2014		146815
4189	4189		145351
1322	1322		145168
35	1098		142200
2449	3924	3899	140259
1645	1645		138535
4789	486		138269
2497	4196		136431
2449	3902	2452,2454	136304
1437	1437		134334
2496	4749	1820	134304
1831	3671	118,3670	133792
120	120		133169
392	392		131788
1152	4612	4117	130305
2449	2228	2451	129167
1091	4518	3276,4517	129061
145	145		127714
1396	1396		127025
2497	2497		126198
2674	2674		124781
1443	1443		123039
53	53		122583
2449	2239	2452	120305
176	3098	3096	119948
176	1917	281	118971
4293	4293		118012
2335	2335		117815
20	20		117415
2496	1820		114934
417	417		114800
210	210		114236
2980	2980		114187
75	291		114100
1861	1861		113746
330	330		113501
2553	2553		112297
176	176		111967
3449	3449		111300
189	3357		110538
270	1585		109677
2006	2006		109359
2013	2013		108959
75	1893		108249
87	87		106432
74	4147		105916
285	1846		105168
99	3315	2183	103883
1550	1550		103853
4144	4144		101613
80	80		101575
2319	2319		100580
37	37		99839
95	2008	2007	99725
3389	1233		99360
1146	1146		98530
1967	1967		96746
1831	4297	118,3670,4296	96612
3410	144		95629
186	186		94055
2651	2651		92768
302	302		92462
2566	2566		91940
307	307		90535
78	2311	2310	89706
3480	3480		89633
14	14		88938
314	314		88776
326	326		88472
3482	3482		88306
13	4329	60,347	87787
2551	2551		87512
13	4310	60,347	86690
213	213		86582
344	344		84515
293	293		84464
176	2565		84451
4714	4714		84421
1857	1857		83907
2017	2017		83415
1391	59		83239
99	99		83186
4152	4152		83037
129	1661		82713
190	190		81700
187	187		81534
2054	2054		81514
95	2007		80800
254	4472	1656	80189
1871	2349		79851
309	309		79287
2449	2457	2452	78598
13	1879	347	78075
262	3086		78059
4524	4524		77641
1553	1553		77003
254	1167		76596
75	342		76092
75	1321	1319	75968
285	4756	4712,4755	75193
245	247		74149
250	2547		74050
13	2403	13,60,347,1224	73223
4208	4209		73161
3481	3481		72797
13	4830	13,348	72593
13	4830	348	71983
176	1992		71733
3970	3971		70836
1903	2256		70754
1091	3964		70403
64	64		70007
3298	3298		69988
335	2621		69548
355	355		69057
284	3999		68808
3023	3023		67625
324	3322	1723	67599
285	4713	285,4712	67545
1334	1334		67044
13	1995	348	66869
346	346		66729
129	2647	1661	66385
1903	2416		66110
4390	4390		65286
304	304		64304
53	4537		63256
3467	3467		62980
1093	1663	475	62974
4789	209	207	62755
3258	3258		62578
3317	3319		62259
4097	4097		61072
319	319		61048
2980	2981		60716
1766	3861		60572
95	2635		59380
3410	200	2817	59279
2923	2923		58423
13	1961	1813	58345
1551	1551		58165
32	4309		57825
3087	3090		57824
2552	2552		57673
176	2948	281	56562
1630	3474		56509
392	2307		56435
2966	2966		56389
321	321		56382
74	208		56264
25	25		55371
176	2515	487,1248	54828
1091	4517	3276	54577
4708	4708		54165
18	18		53771
1973	1973		53748
1814	1814		53659
54	54		53292
183	183		53081
176	4413	178	53077
13	4831	348	52468
2357	2357		52085
4742	4742		51754
162	170		50987
250	2273	250,1149,1150	50670
67	2085	2265	49843
505	505		49773
127	127		49519
1831	4298	118,1831,3670,4296	49397
13	4143	60,347	48883
2224	1160		48278
11	2207	2105	48139
1831	118		47678
295	295		47650
2553	2252		47550
189	2516		47248
1986	1986		47185
13	60	13,347	47164
87	2350		46719
13	1224	13,60,347	46523
41	500		46045
3194	4479	4445	45966
1610	1610		45580
13	4330	60,347	45574
1693	4734		45154
13	1162	318,347	45122
4403	4008		45067
1029	1029		44677
2504	2504		43751
4155	1845		43515
2013	2406		43510
1030	1030		43211
2673	4802		43061
	2448		43060
87	4206	2350	43031
218	218		43030
129	1670		42568
262	2949		42450
492	492		42140
151	151		42127
99	3314	99,2183	41851
13	4146	60,347,2404	41619
315	315		41439
2449	1897	2460	41422
3410	3522		41265
2449	2458	2451	40994
1549	1563		40832
2017	2419		40697
