kingdom	superclass	class	subclass	direct_parent	rows
0	264	265	13	2309	1878192
0	264	265	13	60	1261686
0	2448	2341	2341	2341	1257993
0	2448	2279	31	31	1213222
0	4707	278	2449	3899	1104447
0	2	436	87	2019	935041
0	2	218	2336	2336	898748
0	264	265	13	1878	880222
0	4603	323	1831	4298	844969
0	2448	2279	285	4712	802331
0	2448	2341	138	138	789791
0	2448	2279	285	4713	774474
0	2448	2279	285	285	772003
0	2448	2279	185	185	750486
0	2	2389	189	1984	695421
0	4707	278	2449	3901	671976
0	2	294	294	294	592161
0	4	1202	4631	4631	569415
0	2448	2279	35	1100	565613
0	2448	2279	38	38	552821
0	264	265	13	394	537442
0	264	265	13	348	520859
0	2448	23	23	23	512834
0	2448	2279	369	369	509736
0	2448	2279	1935	1935	506946
0	2448	2279	176	1350	488311
0	2448	2279	176	178	467851
0	2448	2279	4551	4551	465371
0	2448	2279	2279	2279	458665
0	2	436	99	3314	457530
0	2448	2279	4113	4111	456906
0	2448	2279	41	41	455750
0	2448	2279	36	36	446519
0	2448	2279	176	4361	439505
0	2448	2279	2811	2811	428411
0	2	195	303	303	427564
0	2	4788	4789	485	427337
0	264	265	13	1189	414648
0	4603	323	254	2463	408245
0	261	253	253	253	404673
0	2448	2279	2363	2363	396716
0	2	436	78	2327	390820
0	2	311	311	311	374848
0	2	89	2317	2317	371513
0	2	2389	189	3359	362733
0	2448	2279	4155	4155	360193
0	2	195	335	335	336993
0	2	195	195	195	336349
0	264	265	1093	4817	328639
0	2448	2279	176	179	316925
0	2	195	3087	2622	316059
0	2	2020	2020	2020	305041
0	2448	2279	186	188	304891
0	2448	2279	35	2564	303785
0	2448	2279	35	1099	290347
0	2	1253	1253	1253	285222
0	2	1253	2348	2348	282328
0	264	265	13	4321	272816
0	2	436	1822	4354	271591
0	2	301	301	301	252511
0	2448	2279	321	4110	251503
0	2448	2279	2542	2542	250607
0	2	296	296	296	246213
0	264	265	13	1880	245543
0	4	1202	4631	3864	240704
0	4603	323	254	128	238436
0	12	3909	324	324	237760
0	2	90	2257	2334	237655
0	2448	2279	176	3469	233038
0	2448	48	48	48	228165
0	12	259	1549	51	221812
0	2	1346	75	2308	217170
0	264	265	13	4322	209581
0	261	476	2810	2810	205454
0	2	2389	189	1976	204890
0	2	211	211	211	203426
0	12	175	3815	1135	200648
0	2	328	328	328	200520
0	2448	2279	176	3099	200184
0	2	2955	2955	2955	200040
0	2448	27	27	27	199086
0	2	211	4197	4197	198169
0	2	2699	2702	2702	197956
0	12	259	1549	1564	197892
0	2	1253	56	1716	195820
0	2448	2279	176	3100	194817
0	2448	2279	36	4671	192353
0	2	1346	75	1262	190662
0	2	107	392	370	189398
0	2448	2279	1091	1091	189089
0	2	89	1322	2253	187888
0	2	195	1974	2411	187230
0	2	436	95	2634	185431
0	2	89	89	89	184576
0	2	436	111	306	178215
0	2	123	3410	3410	177947
0	4707	278	3282	3282	177407
0	2	436	83	4342	176571
0	2	89	1322	2414	176354
0	264	265	13	2404	173758
0	2	89	1322	1326	171840
0	2448	2341	4670	4670	171351
0	2	89	283	283	171181
0	2	195	1974	2312	170958
0	2448	2279	31	1925	168944
0	2	97	2017	2018	166725
0	2448	2279	1097	1097	165889
0	261	476	476	476	165600
0	2	4788	4789	2314	165074
0	2	436	95	2637	162807
0	2448	2279	4233	4233	161901
0	2448	2279	185	4204	161580
0	2	1859	1859	1859	159844
0	264	265	13	4314	159004
0	2448	2279	284	284	158169
0	2	130	130	130	155754
0	2	2012	2012	2012	154409
0	2	1253	1715	1715	151606
0	264	265	13	2402	151245
0	12	3909	331	1096	149608
0	4707	278	2449	3924	149574
0	2	4788	4789	486	148783
0	2	211	2013	2014	148337
0	2448	2279	1530	1530	147411
0	2	1819	2496	4749	146603
0	2448	2279	35	1098	145774
0	2	4189	4189	4189	145351
0	2	89	1322	1322	145168
0	264	265	13	4830	144576
0	2	211	2497	4196	141289
0	4707	278	2449	3902	138837
0	261	1645	1645	1645	138535
0	4603	323	1831	3671	137486
0	2448	2279	1091	4518	136827
0	2448	2279	176	3098	134371
0	2	1396	1437	1437	134334
0	2448	2279	120	120	133169
0	3630	3631	1152	4612	133052
0	2	107	392	392	131788
0	4707	278	2449	2228	130762
0	261	145	145	145	127714
0	2	1346	75	1893	127684
0	2	1396	1396	1396	127025
0	2	211	2497	2497	126198
0	4707	278	2674	2674	124781
0	2	1443	1443	1443	123039
0	2	1253	53	53	122583
0	4707	278	2449	2239	122423
0	2	1346	75	291	121163
0	2	1819	2496	1820	120953
0	2448	2279	176	1917	120199
0	2	312	4293	4293	118012
0	2	91	2335	2335	117815
0	2448	20	20	20	117415
0	2448	2279	417	417	114800
0	2	211	210	210	114236
0	2448	2279	2980	2980	114187
0	2	89	1861	1861	113746
0	2	294	330	330	113501
0	2	1253	2553	2553	112297
0	2448	2279	176	176	111967
0	2	2389	189	3357	111646
0	2	218	3449	3449	111300
0	264	4434	270	1585	110410
0	2	123	3410	144	110130
0	2448	2279	285	1846	109403
0	2	89	2006	2006	109359
0	2	211	2013	2013	108959
0	2	1346	74	4147	108763
0	2	436	99	3315	107767
0	2	436	87	87	106432
0	12	259	1550	1550	103853
0	4603	323	1831	4297	101621
0	2	4144	4144	4144	101613
0	2	1629	80	80	101575
0	2	436	95	2008	100889
0	2448	2319	2319	2319	100580
0	12	256	3389	1233	99871
0	2448	2279	37	37	99839
0	2	211	1146	1146	98530
0	2	1967	1967	1967	96746
0	264	265	13	4329	96097
0	2448	2279	186	186	94055
0	261	2650	2651	2651	92768
0	2	302	302	302	92462
0	2	2566	2566	2566	91940
0	2	307	307	307	90535
0	2	436	78	2311	90442
0	261	476	1391	59	89730
0	261	476	3480	3480	89633
0	264	265	13	4310	89252
0	2448	2279	176	2565	89144
0	2448	2279	14	14	88938
0	2	314	314	314	88776
0	2	89	326	326	88472
0	2	97	3482	3482	88306
0	261	2551	2551	2551	87512
0	2	213	213	213	86582
0	2	344	344	344	84515
0	2	293	293	293	84464
0	2448	2279	4714	4714	84421
0	4603	323	254	4472	84142
0	4603	323	129	1661	83920
0	2	4788	1857	1857	83907
0	2	97	2017	2017	83415
0	2	436	99	99	83186
0	2448	23	1871	2349	83083
0	2	89	4152	4152	83037
0	2	436	95	2007	82987
0	2448	134	190	190	81700
0	2	1797	245	247	81540
0	2448	2279	187	187	81534
0	2	2566	2054	2054	81514
0	12	3909	262	3086	80963
0	2448	2279	285	4756	80952
0	264	265	13	2403	80417
0	4603	323	254	1167	79291
0	2	309	309	309	79287
0	4707	278	2449	2457	79276
0	2448	2279	176	1992	79009
0	2	1346	75	342	78688
0	264	265	13	1879	78658
0	2448	4524	4524	4524	77641
0	12	259	1553	1553	77003
0	2	2491	250	2547	76727
0	2	1346	75	1321	76542
0	2448	2279	4208	4209	74936
0	2448	2279	1091	3964	73062
0	2448	2279	284	3999	72921
0	2	97	3481	3481	72797
0	2	89	3970	3971	72665
0	2448	2279	2980	2981	72345
0	2	218	1903	2256	71274
0	2	195	335	2621	70597
0	261	64	64	64	70007
0	3297	3298	3298	3298	69988
0	2	89	3317	3319	69839
0	2448	2279	355	355	69057
0	4603	323	129	2647	67866
0	12	3909	324	3322	67787
0	2	218	3023	3023	67625
0	2	1253	53	4537	67468
0	264	265	13	1995	67393
0	12	3909	1334	1334	67044
0	2	218	1903	2416	66886
0	264	265	346	346	66729
0	2	4788	4789	209	65533
0	2	305	4390	4390	65286
0	264	265	1093	1663	64427
0	2	304	304	304	64304
0	2	2491	250	2273	63368
0	261	3467	3467	3467	62980
0	264	265	13	4831	62914
0	12	257	3258	3258	62578
0	2	123	3410	200	61880
0	2448	2279	32	4309	61492
0	12	3909	1766	3861	61478
0	2	295	4097	4097	61072
0	2	319	319	319	61048
0	2	195	3087	3090	60114
0	2	436	95	2635	59939
0	2	2920	2923	2923	58423
0	264	265	13	1961	58345
0	2448	2279	176	2515	58341
0	2448	2279	176	2948	58165
0	12	259	1551	1551	58165
0	261	3467	1630	3474	57941
0	2	1346	74	208	57876
0	2	1253	2552	2552	57673
0	2	107	392	2307	57440
0	2448	2279	1091	4517	57108
0	264	265	2966	2966	56389
0	2448	2279	321	321	56382
0	264	265	13	4143	55412
0	2448	25	25	25	55371
0	2	160	162	170	54526
0	2448	2279	176	4413	54399
0	2	89	4708	4708	54165
0	2448	18	18	18	53771
0	2	302	1973	1973	53748
0	2448	2279	1814	1814	53659
0	2	2566	54	54	53292
0	2	211	183	183	53081
0	264	265	13	1224	52937
0	264	265	13	4330	52933
0	2	195	2357	2357	52085
0	2448	2279	4742	4742	51754
0	2	1346	67	2085	50634
0	4603	323	11	2207	50466
0	462	1370	3194	4479	50072
0	4	1157	505	505	49773
0	2	1819	127	127	49519
0	2	89	2224	1160	49488
0	4603	323	1831	118	49242
0	2	2389	189	2516	49059
0	2	1253	2553	2252	48897
0	2	1253	4403	4008	48674
0	2	436	87	2350	48029
0	2	295	295	295	47650
0	264	265	1986	1986	47185
0	2	98	1693	4734	47065
0	2448	2279	41	500	46608
0	264	265	13	1162	46480
0	1392	1610	1610	1610	45580
0	267	2866	1029	1029	44677
0	2448	2279	4155	1845	44380
0	2	211	2013	2406	44342
0	12	3909	262	2949	44219
0	4603	323	129	1670	43971
0	261	476	2504	2504	43751
0	2448	2279	2673	4802	43661
0	2	436	87	4206	43266
0	267	2866	1030	1030	43211
0	264	265	13	4146	43064
0	2448			2448	43060
0	2	218	218	218	43030
0	4707	278	2449	1897	42343
0	2	1253	1908	274	42303
0	279	492	492	492	42140
0	2448	18	151	151	42127
0	12	259	1549	1563	42088
0	2	123	3410	3522	42086
0	4707	278	2449	2458	41685
0	2	211	2497	3214	41676
0	2448	2279	176	3105	41646
0	2	315	315	315	41439
0	2	97	2017	2419	41428
0	2448	2279	176	3097	41395
0	264	265	1093	1664	41314
0	2	211	1213	1914	40722
0	2	1346	75	2415	39759
0	2448	2279	176	281	39692
0	2448	23	2044	2044	39657
0	2448	23	2441	2441	39578
0	2448	2279	4208	4210	39575
0	2	1346	75	75	39534
0	2	2491	250	2282	39459
0	2448	2279	33	33	39267
0	2	89	4708	4709	39191
0	2	233	233	233	39013
0	264	1813	2010	2010	38796
0	2448	2279	4632	4632	38488
0	4603	323	11	282	38144
0	2448	23	1871	2421	38124
0	2	1346	75	2222	37678
0	2	1346	67	1694	37499
0	2	1346	75	1319	37274
0	12	259	1549	1401	36944
0	1392			1392	36911
0	264	4434	270	1179	36778
0	2448	2279	176	1318	36766
0	2	160	162	173	36742
0	2448	2279	176	2346	36623
0	2448	2279	113	113	36535
0	4707	278	375	375	36521
0	12	3909	1722	1722	36423
0	12	258	3568	1467	35945
0	2	1859	4417	4417	35665
0	2	89	3972	3972	35081
0	2	211	1290	1290	35074
0	289	479	479	479	34826
0	279	1140	1140	1140	34755
0	261	1631	1631	1631	34687
0	2	1729	1729	1729	34665
0	2	2389	189	2410	34609
0	4603	323	11	2204	34031
0	2	436	83	2641	33980
0	2	305	4387	4387	33916
0	264	265	13	4323	33677
0	2837	4475	4622	4622	33488
0	2	90	2257	2257	33346
0	264	265	13	4148	33203
0	4603	323	11	198	33191
0	2	2389	189	3358	32967
0	4603	323	11	4165	32905
0	12	258	1691	1691	32901
0	2	1799	1799	1799	32772
0	12	258	3569	1468	32587
0	264	265	1093	1238	32582
0	2448	23	3597	3599	32236
0	12	259	1283	1283	32186
0	2448	134	4647	4647	32183
0	2	89	3970	4532	31766
0	264	265	13	4317	31650
0	2448	21	21	21	31563
0	2	123	3411	3411	31345
0	2448	2279	176	2347	31250
0	4603	323	11	1696	31176
0	12	175	3815	3814	30610
0	4603	323	11	1540	30416
0	4603	323	129	1292	30362
0	2	1894	1894	1894	30227
0	2448	2279	1091	4223	30210
0	264	364	517	517	29649
0	4603	323	1831	4325	29628
0	2	76	4758	1448	29604
0	2448	27	1151	1151	29423
0	261	147	147	147	29244
0	12	3909	324	3417	29080
0	2	97	1936	4005	28789
0	261	3405	3405	3405	28696
0	2	76	4758	4805	28266
0	4707	278	4504	362	28247
0	2448	2279	2099	2099	28113
0	2448	2279	176	2345	27855
0	2	1797	245	3454	27629
0	12	259	1549	1549	27505
0	462	1370	3194	3196	27389
0	2	1884	2288	2288	27293
0	2	50	1245	1245	27292
0	2448	2279	32	32	27218
0	2	76	4758	4759	27166
0	2448	2279	1091	4224	27044
0	4707	278	2449	469	26906
0	2448	2279	35	1101	26775
0	2448	2279	41	1892	26358
0	264	265	13	4312	26343
0	2	436	78	2629	26247
0	2448	134	4646	4646	26206
0	12	256	256	256	26144
0	2	1910	1910	1910	26102
0	2	301	15	15	26066
0	2448	2279	4208	4211	25922
0	12	3909	513	514	25800
0	2	317	317	317	25497
0	2	2389	189	189	25465
0	12	3909	262	1989	25379
0	2	2021	2021	2021	25305
0	2	436	1822	2924	25302
0	2	2834	2834	2834	25300
0	2	2389	189	2316	25277
0	2	195	1581	1581	25184
0	12	256	2213	1408	24984
0	4603	323	11	2203	24845
0	2	1253	4403	4403	24816
0	4707	278	2449	1852	24796
0	2	1346	67	67	24660
0	2	69	69	69	24637
0	2	2955	2956	2956	24393
0	2	3886	3886	3886	24153
0	2	211	1753	1753	24121
0	2	1634	1634	1634	23881
0	4707	278	2449	4253	23710
0	2	3370	3370	3370	23449
0	2448	23	3597	3598	23275
0	12	259	2049	2358	23254
0	2	102	2200	2200	23165
0	2	436	78	1227	23141
0	2	1346	74	74	22936
0	2	436	99	4683	22916
0	267	1517	1517	1517	22896
0	12	256	2215	1393	22858
0	462	1370	3194	3140	22844
0	2	436	81	81	22785
0	12	258	1460	1460	22777
0	2448	2279	2673	2673	22660
0	264	1813	1961	1961	22610
0	279	58	58	58	22571
0	12	3909	262	3544	22548
0	2	436	95	95	22463
0	2448	2279	2042	2126	22361
0	12	3909	331	331	22356
0	2448	2279	1091	3276	22319
0	2	1640	1640	1640	22287
0	2448	2279	4233	4234	22200
0	2	89	2224	367	22068
0	2448	2279	350	350	22043
0	2	1253	1734	1734	21958
0	2	301	2584	2584	21828
0	2	89	2224	1562	21826
0	2	1797	245	2987	21687
0	12	175	3809	1644	21655
0	2	4788	1857	1858	21654
0	2	309	310	310	21642
0	2	2491	108	196	21504
0	2448	23	3597	3601	21429
0	2448	1851	1851	1851	21408
0	264	265	1205	1205	21061
0	264	265	2524	2524	21059
0	4707	278	3282	4506	21036
0	2	436	78	2630	20509
0	4603	323	1831	3487	20390
0	4707	278	503	1250	20256
0	2448	134	141	141	20238
0	2	305	305	305	20096
0	2	1346	75	292	20027
0	261	3467	1630	3475	20003
0	2	160	163	163	19830
0	261	334	1615	1615	19741
0	2	1799	4415	4415	19722
0	2	2332	2332	2332	19513
0	2	1797	245	245	19401
0	261	181	181	181	19356
0	2	1797	245	246	19269
0	2	1253	1155	1155	19257
0	4603	323	1831	3670	19227
0	264	265	13	4315	19141
0	2	211	1290	1252	19079
0	267	2867	4485	4485	18897
0	2448	2279	1091	3965	18781
0	2	252	252	252	18746
0	12	257	3392	3392	18745
0	12	259	1283	1538	18640
0	2	89	1975	1975	18497
0	2	195	3087	3089	18497
0	12	259	1549	1565	18437
0	2	1346	74	1924	18360
0	264	419	3893	4482	18348
0	2448	2279	285	4389	18311
0	2448	2279	176	2787	18280
0	2	1629	80	4552	18277
0	2	2111	2111	2111	18260
0	264	403	1183	1183	18255
0	4603	323	129	2938	18235
0	2	90	2554	2554	18188
0	264	265	13	4319	18120
0	2	436	83	2639	18057
0	2448	2279	3981	3980	18048
0	264	265	13	4145	18009
0	2837	4474	4474	4474	18007
0	2448	23	153	153	17987
0	2448	19	19	19	17699
0	2	1455	212	212	17434
0	12	3909	262	338	17425
0	2448	2279	4629	4630	17425
0	2	98	1693	1693	17315
0	4603	323	323	323	17174
0	2	1253	1908	100	17171
0	264	389	1114	1114	17149
0	264	472	1713	1713	16946
0	2	211	4162	4162	16771
1	423	453	554	554	16761
0	2	3589	3589	3589	16757
0	289	480	2180	2180	16679
0	2	436	78	2633	16637
0	2	2338	2338	2338	16527
0	264	265	1093	3626	16511
0	12	3909	1334	2951	16499
0	2	1884	2288	2577	16362
0	2	1253	56	56	16352
0	2448	2279	176	2786	16292
0	2	436	95	2636	16271
0	4707	278	503	4225	16234
0	12	258	3568	3568	16064
0	2	251	251	251	16029
0	12	258	3566	1469	15988
0	2	328	3590	3590	15955
0	2	4788	4789	206	15927
0	2	2490	79	79	15906
0	12	175	637	3821	15906
0	12	258	1194	1194	15898
0	279	2719	2722	2722	15680
0	3865	4036	3997	3997	15647
0	264	265	13	2010	15634
0	2	224	308	4292	15595
0	2	2323	2323	2323	15568
0	2448	2279	3981	3979	15533
0	2	90	2257	2695	15474
0	12	3909	262	1528	15241
0	2448	2279	176	4700	14974
0	4603	323	1831	3213	14899
0	264	265	2995	2995	14892
0	2	4788	4789	207	14854
0	2	2117	2117	2117	14837
0	2	86	86	86	14821
0	12	259	1551	676	14819
0	2448	2279	284	1141	14810
0	2	159	159	159	14736
0	2448	23	1871	1871	14734
0	2	98	4105	4638	14690
0	4603	323	11	1498	14689
0	267	1516	1516	1516	14676
0	2	436	111	111	14613
0	2	313	313	313	14593
0	264	364	1611	1611	14509
0	2	1346	67	2413	14323
0	2	368	1314	1314	14307
0	2	436	93	93	14263
